Date,TSLA_QUANTITY_FAILS,close,open,low,high,volume
2021-08-12,54882,755.06,740.96,712.1,755.06,17898893
2021-08-16,55,707.82,734.2,677.6,734.2,24067102
2021-08-17,1615,667.22,673.89,651.21,706.75,24634273
2021-08-20,3141,694.54,708.34,694.54,708.34,15488057
2021-08-24,13391,723.55,731.32,723.55,737.55,13404094
2021-08-25,3833,729.2,729.93,718.0,734.47,12880856
2021-08-26,5361,722.42,733.35,722.42,747.0,13307143
2021-08-27,1949,717.21,734.0,717.21,742.0,14061206
2021-08-30,110,763.31,721.537,713.53,763.31,18637364
2021-08-31,8188,740.78,749.0,730.59,775.97,21257065
2021-09-02,20329,745.12,749.6,745.12,773.41,13324817
2021-09-03,18742,762.89,760.7681,744.6,762.89,15436148
2021-09-08,4642,772.73,771.18,757.7258,775.19,19017044
2021-09-10,1418,770.46,768.7,760.1643,789.11,15604261
2021-09-13,196,773.0,766.8533,739.05,773.0,23334133
2021-09-14,20492,767.23,755.77,755.77,770.3,19037635
