Date,BB_QUANTITY_FAILS,close,open,low,high,volume
2021-03-16,102754,11.78,12.0,11.4347,12.4,20011552
2021-03-17,61040,12.1,11.48,11.48,12.1,9846251
2021-03-18,33545,11.03,11.62,10.82,12.03,11500756
2021-03-19,34164,11.11,11.33,10.97,11.62,10941328
2021-03-22,71115,11.03,12.0,10.84,12.0,8014841
2021-03-23,35939,10.17,11.14,10.17,11.14,12476453
2021-03-24,139150,9.72,10.44,9.627,10.58,12730853
2021-03-26,17918,9.78,10.53,9.3,10.53,13282030
2021-03-29,41164,9.2,9.96,9.2,10.12,13644250
2021-03-30,90357,9.69,9.36,9.14,9.69,18260478
2021-03-31,1102309,8.43,8.95,8.43,8.95,33767183
2021-04-01,20681,8.9,9.0,8.8,9.27,15058168
2021-04-05,18993,9.4,9.1,8.74,9.62,19236435
2021-04-06,140584,9.31,9.58,9.036,9.58,9919484
2021-04-07,141710,9.13,9.46,9.11,9.74,16228604
2021-04-08,6486,9.74,9.3,9.28,9.74,11768724
2021-04-09,48457,9.49,9.36,9.2,9.54,6773743
2021-04-12,112741,9.2,9.13,9.13,9.74,6660355
2021-04-13,166244,9.5,9.33,9.0,9.605,7214836
2021-04-14,150505,9.0,9.09,9.0,9.67,8036838
2021-04-15,9300,8.86,9.2,8.75,9.51,8597429
2021-04-16,53105,8.8,9.08,8.8,9.08,7654029
2021-04-19,21104,9.01,8.7,8.52,9.1,6594998
2021-04-20,410849,8.46,8.85,8.36,8.85,13227400
2021-04-21,35089,8.88,8.4,8.28,8.88,9297249
2021-04-22,199883,8.68,8.86,8.63,9.05,8751064
2021-04-23,258284,8.98,8.75,8.75,8.98,5596177
2021-04-26,14682,9.18,9.24,8.89,9.43,8501283
2021-04-27,26007,9.4,9.28,9.16,10.0192,21575385
2021-04-28,4943,9.6,9.46,9.46,10.13,12672603
2021-04-29,180320,9.21,9.83,8.9959,9.91,7042575
2021-04-30,176573,8.87,9.09,8.87,9.43,6282577
2021-05-03,140829,8.63,9.17,8.63,9.22,5901713
2021-05-04,67,8.49,8.79,8.35,8.9769,8868398
2021-05-05,241211,8.33,8.56,8.26,8.56,3593038
2021-05-06,56502,8.5,8.16,8.04,8.5,7310113
2021-05-07,120953,8.84,8.4,8.4,8.84,5638925
2021-05-10,153741,8.5,8.72,8.34,8.72,5883418
2021-05-11,96272,8.4,8.26,8.09,8.552,8588186
2021-05-12,82678,8.22,8.6,7.99,8.6,7557767
2021-05-13,28015,8.31,8.36,7.953,8.405,13868946
2021-05-14,247957,8.52,8.0,8.0,8.8674,10026742
2021-05-17,280707,8.75,8.56,8.51,8.918,5378196
2021-05-18,104407,9.05,8.7,8.47,9.07,7412614
2021-05-19,85557,8.57,8.67,8.3399,8.68,5339340
2021-05-20,103808,8.9,8.68,8.68,9.25,4226497
2021-05-21,60142,8.68,9.23,8.68,9.25,5213915
2021-05-24,300285,8.72,8.72,8.4663,8.77,4392836
2021-05-25,40769,8.91,8.7,8.686,8.91,7905370
2021-05-26,64,9.47,8.84,8.84,9.7,27116784
2021-05-27,58975,10.11,10.2,9.63,10.45,47285647
2021-05-28,354916,10.39,10.49,9.939,12.14,118899240
2021-06-01,936242,11.9,11.61,10.83,11.9,89086716
2021-06-02,76691,15.3,13.01,12.6,17.34,353622905
2021-06-03,4257,15.97,19.8,14.01,20.97,555462551
2021-06-04,225427,14.18,16.41,14.18,16.41,175484180
2021-06-07,500299,15.85,15.04,14.7,17.0,200983645
2021-06-08,820598,16.5,16.77,15.61,17.5,163877628
2021-06-09,267431,15.21,15.66,14.9,16.71,107047554
2021-06-10,579597,14.1,14.87,14.1,15.54,69407925
2021-06-11,526932,14.77,14.67,14.22,14.77,56242119
2021-06-14,827692,14.22,14.51,14.22,14.89,49731228
2021-06-15,98797,14.48,14.02,13.61,14.5085,39907924
2021-06-16,36015,13.44,14.15,12.72,14.2607,45401998
2021-06-17,122455,13.89,12.69,12.69,14.1544,43853314
2021-06-18,228952,13.4,14.18,13.16,14.39,39784703
2021-06-21,86611,13.2,12.99,12.9,13.2,23317445
2021-06-22,1142347,14.0,13.18,12.5,14.0,33613455
2021-06-23,456704,13.43,13.54,13.38,13.63,24005490
2021-06-25,3146,12.31,12.24,12.14,12.78,38197545
2021-06-28,161698,13.1,12.57,12.57,13.11,31225612
2021-06-30,5410,12.49,12.61,12.48,13.07,14421573
2021-07-01,274708,12.38,12.54,11.8712,12.54,12828694
2021-07-02,13107,12.35,12.48,12.34,12.48,10721059
2021-07-06,34712,12.17,12.17,12.132,12.89,10892566
2021-07-07,94570,11.93,12.12,11.56,12.63,12678119
2021-07-08,195,12.07,11.11,10.9,12.07,12918709
2021-07-12,46000,11.57,11.98,11.45,12.3117,7426424
2021-07-13,39932,11.42,11.39,11.29,11.59,6937611
2021-07-15,60,10.59,10.59,10.59,11.06,13019716
2021-07-19,44086,9.96,10.28,9.96,10.3811,13152066
2021-07-20,38431,10.73,10.02,10.02,10.98,11226714
2021-07-21,103,11.29,10.66,10.66,11.29,8046905
2021-07-23,20138,10.53,10.52,10.4,10.773,4775331
2021-07-26,26511,10.53,10.48,10.31,10.53,8604881
